Food Resource Type,Agency,Location,Operational Status,Operational Notes,Who They Serve,Address,Latitude,Longitude,Phone Number,Website,Days/Hours,Date Updated
Food Bank,Ballard Food Bank,Ballard Food Bank,Open,"Drive thru food bank only during listed hours.
Home delivery: Tuesday- Thursday
Sandwiches and no-cook bags available all open hours as well as Tues: 11:00 am - 4:00 pm",General Public,"5130 Leary Ave NW, Seattle, WA 98107",47.6656752,-122.3804563,(206)-789-7800,http://www.ballardfoodbank.org/,"Mon: 2:00 pm - 6:00 pm
Wed: 12:00 pm - 4:00 pm
Thurs: 2:00 pm - 6:00 pm",08/20/2021 12:00:00 AM
Food Bank & Meal,Bethany Community Church,Food Pantry and Meals,Open,"Food Bank continues on a weekly basis, and  Community Meal is providing to-go meals to anyone who needs it.",General Public,"80230 Green Lake Dr N, Seattle, WA 98103",47.6873209,-122.3411453,(206)-524-9000,http://www.churchbcc.org/greenlake/serve/local-outreach,"Food Bank: 
Mon: 6:00 pm - 7:00 pm  
Community Meal: 
Second and Last Mon of every month 6:00 pm - 7:00 pm",08/20/2021 12:00:00 AM
Food Bank & Meal,Blessed Sacrament,Blessed Sacrament Sunday Meal and Food Bank,Open,"Food Bank: Home Delivery only
Meals: To-go boxes",General Public,"5050 8th Ave NE, Seattle, WA 98105",47.6664368,-122.3190289,(206)-547-3020,http://www.blessed-sacrament.org/outreach,"Food Bank:
Home Delivery and/or Fri: 10:30 am - 12:00 pm

Meal Program:
Sun: 12:00 pm - 2:00 pm",08/20/2021 12:00:00 AM
Food Bank,Byrd Barr Place,Byrd Barr Place Food Bank,Open,"Pre-packaged grocery bags of perishable and non-perishable items 
Pick up out front for social distancing",General Public,"420 E Pike St, 
Seattle, WA 
98122",47.614462,-122.3258975,(206)-547-2885,http://www.byrdbarrplace.org/programs-services/food-bank/,"Tues: 11:00 am - 4:00 pm
Wed: 12:00 pm - 4:00 pm
Thurs: 10:00 am - 2:00 pm",08/20/2021 12:00:00 AM
Meal,Catholic Community Services of Western Washington,Pacific/Algona Senior Center,Limited Operations,Please call ahead for pick up or delivery of a meal,Older Adults 60+ and Eligible Participants,"100 3rd Ave SW, Pacific, WA 98047",47.2641168,-122.248845,(253)-929-1150,http://www.pacificwa.gov/,"To-go Meal:
Tue, Wed, Thurs, Fri: 11:00 am - 1:00 pm

Monday Stone Soup:
Mon: 11:00 am - 1:00 pm",08/20/2021 12:00:00 AM
Meal,Catholic Community Services of Western Washington,Auburn Senior Center,Limited Operations,"In order to prepare enough food and arrange for deliveries, please call ahead at least 3 days ahead. Phone number: (235)-931-3016",Older Adults 60+ and Eligible Participants,"808 9th St SE, Auburn, WA 98002",47.2997341,-122.218084,(253)-931-3016,http://www.auburnwa.gov/city_hall/parks_arts_recreation/senior_activity_center,"Walk Up:
Mon, Tues, Wed, Thurs, Fri: 12:00 pm - 12:15 pm",08/20/2021 12:00:00 AM
Meal,Catholic Community Services of Western Washington,Des Moines Senior Center,Limited Operations,"The center is closed, but lunch is available for pick up during hours. CCS requests participants order meals one week in advance of service need.",Older Adults 60+ and Eligible Participants,"2045 S 216th St, Des Moines, WA 98198",47.4069514,-122.3058553,(206)-878-1642,http://www.desmoineswa.gov/cms/one.aspx?pageId=17490998,"Mon, Tues, Weds, Thurs
12:00 pm - 12:30 pm",08/20/2021 12:00:00 AM
Meal,Catholic Community Services of Western Washington,North SeaTac Community Center,Limited Operations,"Meals handed out on a first come, first served basis. Please enter the parking lot from the entrance on 24th Avenue S. and pick up your meal in front of the Senior Program doors.",Older Adults 60+ and Eligible Participants,"13735 24th Ave S, SeaTac, WA 98168",47.4802984,-122.3038972,(206)-973-4686,http://www.seatacwa.gov/services/senior-program,"Tues, Wed, Thurs, Fri
11:45 am - 12:30 pm",08/20/2021 12:00:00 AM
Meal,Catholic Community Services of Western Washington,Issaquah Senior Center,Limited Operations,Hot to-go meals provided during hours,Older Adults 60+ and Eligible Participants,"75 NE Creek Way, Issaquah, WA 98027",47.5312212,-122.0349418,(425)-392-2381,http://www.issaquahwa.gov/1744/Seniors,"Mon, Tues, Wed, Thurs, Fri
12:00 pm - 12:30 pm",08/20/2021 12:00:00 AM
Meal,Catholic Community Services of Western Washington,North Bellevue Community Center,Limited Operations,"Adults 60 and older can enjoy a delicious hot lunch every Monday, Tuesday, Wednesday and Friday for a suggested donation of $4.50 at the North Bellevue Community Center. Those under 60 pay a suggested donation of $6.50. Lunches are sponsored and prepared by Catholic Community Services staff and community center volunteers.",Older Adults 60+ and Eligible Participants,"4063 148th Ave NE, Bellevue, WA 98007",47.647434,-122.1450803,(425)-452-7681,http://www.bellevuewa.gov/city-government/departments/parks/community-centers/north-bellevue-community-center,"Mon, Tues, Wed, Fri",08/20/2021 12:00:00 AM
